tactic;technique;executor;os;name;guid;sigma;nmr_test
defense-evasion;T1055.011;powershell;['windows'];Process Injection via Extra Window Memory (EWM) x64 executable;93ca40d2-336c-446d-bcef-87f14d438018;False;1
defense-evasion;T1218.011;command_prompt;['windows'];Rundll32 execute JavaScript Remote Payload With GetObject;57ba4ce9-ee7a-4f27-9928-3c70c489b59d;True;1
defense-evasion;T1218.011;command_prompt;['windows'];Rundll32 execute VBscript command;638730e7-7aed-43dc-bf8c-8117f805f5bb;True;2
defense-evasion;T1218.011;command_prompt;['windows'];Rundll32 execute VBscript command using Ordinal number;32d1cf1b-cbc2-4c09-8d05-07ec5c83a821;True;3
defense-evasion;T1218.011;command_prompt;['windows'];Rundll32 advpack.dll Execution;d91cae26-7fc1-457b-a854-34c8aad48c89;True;4
defense-evasion;T1218.011;command_prompt;['windows'];Rundll32 ieadvpack.dll Execution;5e46a58e-cbf6-45ef-a289-ed7754603df9;True;5
defense-evasion;T1218.011;command_prompt;['windows'];Rundll32 syssetup.dll Execution;41fa324a-3946-401e-bbdd-d7991c628125;True;6
defense-evasion;T1218.011;command_prompt;['windows'];Rundll32 setupapi.dll Execution;71d771cd-d6b3-4f34-bc76-a63d47a10b19;True;7
defense-evasion;T1218.011;command_prompt;['windows'];Execution of HTA and VBS Files using Rundll32 and URL.dll;22cfde89-befe-4e15-9753-47306b37a6e3;True;8
defense-evasion;T1218.011;command_prompt;['windows'];Launches an executable using Rundll32 and pcwutl.dll;9f5d081a-ee5a-42f9-a04e-b7bdc487e676;True;9
defense-evasion;T1218.011;powershell;['windows'];Execution of non-dll using rundll32.exe;ae3a8605-b26e-457c-b6b3-2702fd335bac;True;10
defense-evasion;T1218.011;command_prompt;['windows'];Rundll32 with Ordinal Value;9fd5a74b-ba89-482a-8a3e-a5feaa3697b0;True;11
defense-evasion;T1218.011;command_prompt;['windows'];Rundll32 with Control_RunDLL;e4c04b6f-c492-4782-82c7-3bf75eb8077e;True;12
defense-evasion;T1218.011;command_prompt;['windows'];Rundll32 with desk.cpl;83a95136-a496-423c-81d3-1c6750133917;True;13
defense-evasion;T1556.003;sh;['linux'];Malicious PAM rule;4b9dde80-ae22-44b1-a82a-644bf009eb9c;False;1
defense-evasion;T1556.003;sh;['linux'];Malicious PAM rule (freebsd);b17eacac-282d-4ca8-a240-46602cf863e3;False;2
defense-evasion;T1556.003;sh;['linux'];Malicious PAM module;65208808-3125-4a2e-8389-a0a00e9ab326;False;3
defense-evasion;T1222.002;sh;['linux', 'macos'];chmod - Change file or folder mode (numeric mode);34ca1464-de9d-40c6-8c77-690adf36a135;False;1
defense-evasion;T1222.002;sh;['linux', 'macos'];chmod - Change file or folder mode (symbolic mode);fc9d6695-d022-4a80-91b1-381f5c35aff3;False;2
defense-evasion;T1222.002;sh;['linux', 'macos'];chmod - Change file or folder mode (numeric mode) recursively;ea79f937-4a4d-4348-ace6-9916aec453a4;False;3
defense-evasion;T1222.002;bash;['linux', 'macos'];chmod - Change file or folder mode (symbolic mode) recursively;0451125c-b5f6-488f-993b-5a32b09f7d8f;False;4
defense-evasion;T1222.002;bash;['macos', 'linux'];chown - Change file or folder ownership and group;d169e71b-85f9-44ec-8343-27093ff3dfc0;False;5
defense-evasion;T1222.002;bash;['macos', 'linux'];chown - Change file or folder ownership and group recursively;b78598be-ff39-448f-a463-adbf2a5b7848;False;6
defense-evasion;T1222.002;sh;['linux', 'macos'];chown - Change file or folder mode ownership only;967ba79d-f184-4e0e-8d09-6362b3162e99;False;7
defense-evasion;T1222.002;bash;['macos', 'linux'];chown - Change file or folder ownership recursively;3b015515-b3d8-44e9-b8cd-6fa84faf30b2;False;8
defense-evasion;T1222.002;sh;['macos', 'linux'];chattr - Remove immutable file attribute;e7469fe2-ad41-4382-8965-99b94dd3c13f;False;9
defense-evasion;T1222.002;sh;['linux'];chflags - Remove immutable file attribute;60eee3ea-2ebd-453b-a666-c52ce08d2709;False;10
defense-evasion;T1222.002;sh;['macos', 'linux'];Chmod through c script;973631cf-6680-4ffa-a053-045e1b6b67ab;False;11
defense-evasion;T1222.002;sh;['linux'];Chmod through c script (freebsd);da40b5fe-3098-4b3b-a410-ff177e49ee2e;False;12
defense-evasion;T1222.002;sh;['macos', 'linux'];Chown through c script;18592ba1-5f88-4e3c-abc8-ab1c6042e389;False;13
defense-evasion;T1222.002;sh;['linux'];Chown through c script (freebsd);eb577a19-b730-4918-9b03-c5edcf51dc4e;False;14
defense-evasion;T1216.001;command_prompt;['windows'];PubPrn.vbs Signed Script Bypass;9dd29a1f-1e16-4862-be83-913b10a88f6c;True;1
defense-evasion;T1006;powershell;['windows'];Read volume boot sector via DOS device path (PowerShell);88f6327e-51ec-4bbf-b2e8-3fea534eab8b;True;1
defense-evasion;T1014;sh;['linux'];Loadable Kernel Module based Rootkit;dfb50072-e45a-4c75-a17e-a484809c8553;False;1
defense-evasion;T1014;sh;['linux'];Loadable Kernel Module based Rootkit;75483ef8-f10f-444a-bf02-62eb0e48db6f;False;2
defense-evasion;T1014;sh;['linux'];dynamic-linker based rootkit (libprocesshider);1338bf0c-fd0c-48c0-9e65-329f18e2c0d3;False;3
defense-evasion;T1014;sh;['linux'];Loadable Kernel Module based Rootkit (Diamorphine);0b996469-48c6-46e2-8155-a17f8b6c2247;False;4
defense-evasion;T1548.002;command_prompt;['windows'];Bypass UAC using Event Viewer (cmd);5073adf8-9a50-4bd9-b298-a9bd2ead8af9;True;1
defense-evasion;T1548.002;powershell;['windows'];Bypass UAC using Event Viewer (PowerShell);a6ce9acf-842a-4af6-8f79-539be7608e2b;True;2
defense-evasion;T1548.002;command_prompt;['windows'];Bypass UAC using Fodhelper;58f641ea-12e3-499a-b684-44dee46bd182;True;3
defense-evasion;T1548.002;powershell;['windows'];Bypass UAC using Fodhelper - PowerShell;3f627297-6c38-4e7d-a278-fc2563eaaeaa;True;4
defense-evasion;T1548.002;powershell;['windows'];Bypass UAC using ComputerDefaults (PowerShell);3c51abf2-44bf-42d8-9111-dc96ff66750f;True;5
defense-evasion;T1548.002;command_prompt;['windows'];Bypass UAC by Mocking Trusted Directories;f7a35090-6f7f-4f64-bb47-d657bf5b10c1;True;6
defense-evasion;T1548.002;powershell;['windows'];Bypass UAC using sdclt DelegateExecute;3be891eb-4608-4173-87e8-78b494c029b7;True;7
defense-evasion;T1548.002;command_prompt;['windows'];Disable UAC using reg.exe;9e8af564-53ec-407e-aaa8-3cb20c3af7f9;True;8
defense-evasion;T1548.002;command_prompt;['windows'];Bypass UAC using SilentCleanup task;28104f8a-4ff1-4582-bcf6-699dce156608;True;9
defense-evasion;T1548.002;command_prompt;['windows'];UACME Bypass Method 23;8ceab7a2-563a-47d2-b5ba-0995211128d7;True;10
defense-evasion;T1548.002;command_prompt;['windows'];UACME Bypass Method 31;b0f76240-9f33-4d34-90e8-3a7d501beb15;True;11
defense-evasion;T1548.002;command_prompt;['windows'];UACME Bypass Method 33;e514bb03-f71c-4b22-9092-9f961ec6fb03;True;12
